protein_id	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6	B7
A0A0M3U1B0	341079.559376549	330855.628010058	245130.047852412	400806.330220576	322515.28318637	21205.1352611753	21870.862257378	18347.4844447983	204624.319999198	11039.581017712	318088.541354838	13500.3069555349
A0A1D9BZF0	348073.23256582	275285.22410432	259120.804591056	291875.20302201	318158.659995459	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	373234.475721337	13500.3069555349
A0A7N9VSG0	80694.4534302519	80199.8534066101	70492.8000546195	99090.6879745188	87651.5207140785	189060.921141531	135085.923584142	169848.281348235	127668.165318978	168681.959343715	110687.255501598	188714.378181722
A1A5B6	306284.830188785	266706.907964506	300892.731789478	261462.100964616	244030.86593633	21205.1352611753	21870.862257378	166380.029780532	11083.9205329814	11039.581017712	224275.333375754	13500.3069555349
A1L3P4	1174683.89845886	1269934.33145751	1206591.46956672	943780.157137313	1306405.06062756	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	1887897.18275204	13500.3069555349
A2A432-2	5503015.43536296	6465986.71996528	5631836.17496885	6056459.6850653	4806569.71802113	6393993.08028749	5788139.44503588	7492346.72471423	6739785.26229839	7015257.65730458	7216492.93857627	5636934.91839968
A2A5N3	10223652.8258772	10395188.3798792	13682644.6147165	7689058.04162285	8685890.63793252	31250763.9170061	28547868.9373749	30967240.9861372	24975689.7895134	28850082.305872	9582223.36166695	25553591.8024015
A2A8L5	142233.652363625	161236.801537294	170260.306554057	172946.83544106	175852.448388445	99198.4867907114	133047.882163143	110622.89379163	175323.811638005	129316.202809704	168849.113870577	149093.564651746
A2A8Z1	178318.0	164332.0	153507.0	193497.0	184904.0	112003.0	110263.0	107669.0	120638.0	96500.9	125017.0	83839.0000000001
A2A995	9418.15	5616.65	9629.15	10636.6	7881.81	21205.1352611753	22611.9	18579.3	22543.9	28567.9	11745.6	5931.48
